"FileName","Extension","Size_KB","LastModified","FullPath","FolderFamily"
"agent-config.yaml",".yaml","10.67","3/15/2026 2:34:33 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agent-config.yaml","LeeWay-Agents-the-World-Within"
"agentbage.png.png",".png","1744.51","3/15/2026 2:36:35 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agentbage.png.png","LeeWay-Agents-the-World-Within"
"AGENTS.md",".md","1.18","3/15/2026 9:41:20 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\AGENTS.md","LeeWay-Agents-the-World-Within"
"LICENSE","","1.05","3/15/2026 4:28:02 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\LICENSE","LeeWay-Agents-the-World-Within"
"README.md",".md","18.67","3/15/2026 5:51:29 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\README.md","LeeWay-Agents-the-World-Within"
"__init__.py",".py","0.95","3/6/2026 1:16:44 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\__init__.py","agents"
"AdamCortex.ts",".ts","4.81","4/9/2026 7:41:27 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\AdamCortex.ts","agents"
"Agent.Hardware-Guardian.json",".json","0.2","3/3/2026 7:25:16 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Agent.Hardware-Guardian.json","agents"
"Agent.Human-Link.json",".json","0.24","3/4/2026 3:32:56 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Agent.Human-Link.json","agents"
"Agent.Interface-Designer.json",".json","0.23","3/4/2026 3:32:50 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Agent.Interface-Designer.json","agents"
"Agent.Logistic-Preparer.json",".json","0.22","3/3/2026 7:25:16 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Agent.Logistic-Preparer.json","agents"
"Agent.Neural-Cartographer.json",".json","0.2","3/3/2026 7:25:16 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Agent.Neural-Cartographer.json","agents"
"Agent.Neural-Navigator.json",".json","0.22","3/4/2026 3:32:54 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Agent.Neural-Navigator.json","agents"
"Agent.Phi-3.5-Orchestrator.json",".json","0.22","3/3/2026 7:25:16 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Agent.Phi-3.5-Orchestrator.json","agents"
"Agent.Qwen3-Deep-Brain.json",".json","0.2","3/3/2026 7:25:16 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Agent.Qwen3-Deep-Brain.json","agents"
"Agent.Sovereign-Auditor.json",".json","0.21","3/3/2026 7:25:16 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Agent.Sovereign-Auditor.json","agents"
"Agent.Systems-Integrator.json",".json","0.23","3/4/2026 3:32:52 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Agent.Systems-Integrator.json","agents"
"AgentLee.ts",".ts","3.66","4/9/2026 7:52:54 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\AgentLee.ts","agents"
"AgentLeeBT.ts",".ts","1.11","4/10/2026 3:47:31 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\AgentLeeBT.ts","agents"
"archivist_agent.py",".py","10.82","3/6/2026 1:19:50 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\archivist_agent.py","agents"
"Aria.ts",".ts","3.22","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Aria.ts","agents"
"Atlas.ts",".ts","3.5","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Atlas.ts","agents"
"BrainSentinel.ts",".ts","5.48","4/4/2026 5:03:29 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\BrainSentinel.ts","agents"
"BugHunterForge.ts",".ts","5.93","4/9/2026 7:41:27 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\BugHunterForge.ts","agents"
"ClerkArchive.ts",".ts","6.8","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\ClerkArchive.ts","agents"
"code_scout_agent.py",".py","13.68","3/6/2026 1:19:50 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\code_scout_agent.py","agents"
"Echo.ts",".ts","5.95","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Echo.ts","agents"
"GabrielCortex.ts",".ts","4.85","4/9/2026 7:41:27 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\GabrielCortex.ts","agents"
"GuardAegis.ts",".ts","4.27","4/4/2026 5:06:53 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\GuardAegis.ts","agents"
"indexer.py",".py","1.89","3/3/2026 7:16:58 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\indexer.py","agents"
"JanitorSentinel.ts",".ts","5.4","4/4/2026 3:51:19 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\JanitorSentinel.ts","agents"
"LeewayStandardsAgent.ts",".ts","12.79","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\LeewayStandardsAgent.ts","agents"
"LibrarianAegis.ts",".ts","10.05","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\LibrarianAegis.ts","agents"
"LilyCortex.ts",".ts","5.35","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\LilyCortex.ts","agents"
"LiveConductorAgent.ts",".ts","3.33","4/4/2026 3:51:19 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\LiveConductorAgent.ts","agents"
"MarshalVerify.ts",".ts","13.79","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\MarshalVerify.ts","agents"
"navigator_agent.py",".py","8.58","3/6/2026 1:19:50 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\navigator_agent.py","agents"
"Nexus.ts",".ts","3.08","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Nexus.ts","agents"
"Nova.ts",".ts","5.13","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Nova.ts","agents"
"Pixel.ts",".ts","3.37","4/9/2026 7:52:55 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Pixel.ts","agents"
"RouterAgent.ts",".ts","3","4/9/2026 7:52:56 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\RouterAgent.ts","agents"
"SafetyRedactionAgent.ts",".ts","3.48","4/4/2026 3:51:19 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\SafetyRedactionAgent.ts","agents"
"Sage.ts",".ts","7.38","4/11/2026 12:16:38 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Sage.ts","agents"
"ScribeArchive.ts",".ts","4.76","4/9/2026 7:41:27 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\ScribeArchive.ts","agents"
"sentinel_agent.py",".py","9.98","3/6/2026 1:17:26 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\sentinel_agent.py","agents"
"Shield.ts",".ts","13.13","4/9/2026 7:52:56 PM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\Shield.ts","agents"
"StreamingSTTAgent.ts",".ts","2.89","4/4/2026 3:51:19 AM","D:\AgentLeecompletesystem\LeeWay-Agents-the-World-Within\agents\agents\StreamingSTTAgent.ts","agents"
